
#     NAME                     P0                                     P1
                               (s)
-------------------------------------------------------------------------------------------------------
78    J0110-22      mss+20     1.262                    0  mss+20     *                  0  *
79    J0111+6624    slr+14     4.3018721008             4  lsk+18     8.36E-15          17  lsk+18 
80    J0111-7131    mfl+06     0.68854151164            5  mfl+06     7.092E-15          4  mfl+06 

81    J0113-7220    ckm+01     0.32588301613            1  ckm+01     4.8590E-15        15  ckm+01 
82    J0115+6325    scb+19     0.521455427473           5  mbc+20     1.599E-15          3  mbc+20 
83    B0114+58      stwd85     0.1014390664824         20  hlk+04     5.849955E-15      17  hlk+04 
84    J0121+53      gac+21     2.7247846                4  gac+21     *                  0  *
85    J0122+1416    ttk+17     1.38899395038            2  mbc+20     3.803E-15          1  mbc+20 

86    J0125-2327    mbc+19     0.00367586               0  mbc+19     *                  0  *
87    J0125+62      slr+14     1.708233                98  slr+14     *                  0  *
88    J0131-7310    mfl+06     0.348124045581           7  mfl+06     1.7614E-15         7  mfl+06 
89    J0133-6957    lml+98     0.463473741703           3  dsb+98     1.200E-16          2  dsb+98 
90    J0134-2937    mld+96     0.136961610513651       14  lwy+16     7.83699E-17        3  lwy+16 

91    J0137+1654    lxf+05     0.4147630265082          5  lxf+05     0.01223E-15        3  lxf+05 
92    J0137+6349    slr+14     0.717962726847           6  lsk+18     9.60E-16           5  lsk+18 
93    J0139+3336    ttm+18     1.2479609557             1  mbc+20     2.064E-15          8  mbc+20 
94    J0139+5621    cvh+14     1.77534382596           10  cvh+14     7.9096E-14         3  cvh+14 
95    B0136+57      dth78      0.272450630950          15  hlk+04     1.071167E-14      12  hlk+04 

96    B0138+59      mth72      1.2229485205457         18  hlk+04     3.91070E-16       14  hlk+04 
97    J0141+63      slr+14     0.04668588              49  slr+14     *                  0  *
98    J0146+31      ttol16     0.9381                   0  ttol16     *                  0  *
99    J0146+6145    ims94      8.6889941                4  dk14       1.99E-12           5  dk14 
100   B0144+59      stwd85     0.19632137543003        16  ywml10     2.56763E-16        8  ywml10 

101   B0148-06      mlt+78     1.464664549334           7  hlk+04     4.4259E-16         5  hlk+04 
102   J0152+0948    clm+05     2.74664729014           10  clm+05     1.700E-15          4  clm+05 
103   B0149-16      mlt+78     0.8327416126878         13  hlk+04     1.299202E-15       6  hlk+04 
104   J0154+1833    mgf+19     0.0023645697763006       5  mgf+19     2.919E-21         12  mgf+19 
105   J0156+04      dsm+16     *                        0  *          *                  0  *

106   B0153+39      dtws85     1.81156061131           10  hlk+04     1.516E-16         10  hlk+04 
107   B0154+61      dls72      2.35174493646            7  hlk+04     1.889254E-13       5  hlk+04 
108   J0158+21      dsm+13     0.5053                   0  dsm+13     *                  0  *
109   J0201+7005    kkl+15     1.349184471846          10  kkl+15     5.5144E-15        15  kkl+15 
110   J0203-0150    mzl+23     0.0051733218641960       4  mzl+23     1.4281E-20        11  mzl+23 

111   J0205+6449    mss+02     0.06571592849324         9  lrc+09     1.93754256E-13     4  lrc+09 
